Structure,Substructure,Makespan,Final_Solve,Total_Solve,Obj,Num
19,11,6,0.081,2.257,6,2
19,12,8,0.246,8.680,14,3
20,0,6,0.094,2.281,8,3
20,1,6,0.088,2.212,10,4
20,2,8,0.318,7.794,14,4
20,3,5,0.031,0.857,2,1
20,4,5,0.027,0.834,2,1
20,5,8,0.292,26.265,6,1
20,6,6,0.095,2.393,4,1
20,7,8,0.306,7.606,6,1
20,8,8,0.300,8.370,6,1
20,9,5,0.027,0.851,8,4
21,0,6,0.090,2.132,10,4
21,1,8,0.358,8.796,20,4
21,2,7,0.174,4.814,7,2
21,3,7,0.153,13.821,9,3
21,4,8,0.265,7.359,20,5
21,5,6,0.080,2.107,6,2
21,6,5,0.024,0.776,2,1
21,7,5,0.024,0.778,2,1
21,8,5,0.025,0.779,2,1
22,0,7,0.176,13.550,11,4
22,1,6,0.088,2.113,8,3
22,2,7,0.258,6.015,7,2
22,3,6,0.142,3.051,8,3
22,4,7,0.134,5.065,14,3
22,5,6,0.090,2.427,8,3
22,6,6,0.125,2.289,4,1
22,7,8,0.375,9.244,8,2
23,0,8,0.310,9.578,14,4
23,1,6,0.153,2.881,8,3
23,2,6,0.103,3.015,14,5
23,3,8,0.288,10.249,12,3
23,4,7,0.142,4.420,7,2
23,5,7,0.194,5.953,7,2
23,6,9,0.453,13.454,17,3
23,7,7,0.139,4.625,7,2
23,8,7,0.217,5.867,11,3
23,9,6,0.068,2.304,6,2
23,10,5,0.027,0.838,10,5
24,0,7,0.267,14.229,11,4
24,1,8,0.329,8.354,12,3
24,2,6,0.141,2.069,8,3
24,3,7,0.160,6.668,7,2
24,4,7,0.168,4.495,7,2
24,5,8,0.268,7.008,10,2
24,6,6,0.132,2.765,12,4
24,7,7,0.136,6.365,7,2
24,8,6,0.056,2.078,14,5
24,9,6,0.049,2.027,4,1
24,10,5,0.023,0.778,2,1
24,11,5,0.022,0.768,8,4
25,0,6,0.081,2.063,12,4
25,1,6,0.078,1.988,8,3
25,2,7,0.270,5.291,7,2
25,3,8,0.298,8.882,22,5
25,4,6,0.073,2.155,12,4
25,5,5,0.025,0.801,2,1
25,6,6,0.051,2.076,4,1
25,7,5,0.023,0.788,4,2
26,0,6,0.162,2.582,10,4
26,1,8,0.309,10.065,12,3
26,2,6,0.069,2.075,8,3
26,3,8,0.272,7.531,10,2
26,4,8,0.490,8.682,12,3
26,5,8,0.259,9.600,10,2
26,6,7,0.152,14.201,11,3
26,7,6,0.067,2.119,10,3
26,8,7,0.122,3.741,11,3
26,9,6,0.169,2.506,8,3
